Carmela,19880809
Rebecca,19880809
Ansley,19880809
Zelma,19880109
Allene,19880106
Edd,19820106
Geovanni,19820106
Clair,19820106
Cordell,19820106
Theo,19820105
Raphael,19820105
Vallie,19820105
Guido,19970105
Dana,19970105
Esmeralda,19970305
Jennyfer,19970305
Marie,19970305
Lucinda,19970305
Dashawn,19940305
Greyson,19940305
Melissa,19940305
Ken,19940305
Vanessa,19940302
Rodger,19940302
Vito,20010502
Kacey,20010512
Jaylen,20010512
Lionel,20010512
Lavada,20010512
Shane,20010512
Deshaun,20010513
Jett,20000513
Malcolm,20000513
Claire,20000513
Madalyn,20000513
Marjolainena,20000513
Megane,20000513
Gideon,20001113
Chadrick,20001113
Curt,20001113
Cornell,20051113
Dejon,20051113
Anderson,20051113
Laurine,20051113
Cathryn,20051123
Harry,20051223
Meaghan,20051229
Addie,20051229
Guillermo,20051229
Krystel,20051229
